,GAME ID,DATE
0,20001188,2001-04-18
1,20001185,2001-04-18
2,20001186,2001-04-18
3,20001179,2001-04-18
4,20001180,2001-04-18
5,20001187,2001-04-18
6,20001183,2001-04-18
7,20001189,2001-04-18
8,20001184,2001-04-18
9,20001182,2001-04-18
10,20001181,2001-04-18
11,20001171,2001-04-17
12,20001178,2001-04-17
13,20001177,2001-04-17
14,20001176,2001-04-17
15,20001175,2001-04-17
16,20001174,2001-04-17
17,20001173,2001-04-17
18,20001172,2001-04-17
19,20001170,2001-04-17
20,20001166,2001-04-16
21,20001169,2001-04-16
22,20001165,2001-04-16
23,20001167,2001-04-16
24,20001164,2001-04-16
25,20001168,2001-04-16
26,20001158,2001-04-15
27,20001159,2001-04-15
28,20001162,2001-04-15
29,20001154,2001-04-15
30,20001157,2001-04-15
31,20001160,2001-04-15
32,20001155,2001-04-15
33,20001161,2001-04-15
34,20001156,2001-04-15
35,20001163,2001-04-15
36,20001150,2001-04-14
37,20001153,2001-04-14
38,20001151,2001-04-14
39,20001149,2001-04-14
40,20001152,2001-04-14
41,20001146,2001-04-13
42,20001147,2001-04-13
43,20001148,2001-04-13
44,20001139,2001-04-13
45,20001141,2001-04-13
46,20001145,2001-04-13
47,20001140,2001-04-13
48,20001142,2001-04-13
49,20001143,2001-04-13
50,20001144,2001-04-13
51,20001138,2001-04-13
52,20001137,2001-04-12
53,20001136,2001-04-12
54,20001133,2001-04-12
55,20001132,2001-04-12
56,20001135,2001-04-12
57,20001134,2001-04-12
58,20001126,2001-04-11
59,20001127,2001-04-11
60,20001128,2001-04-11
61,20001131,2001-04-11
62,20001130,2001-04-11
63,20001125,2001-04-11
64,20001129,2001-04-11
65,20001120,2001-04-10
66,20001118,2001-04-10
67,20001117,2001-04-10
68,20001116,2001-04-10
69,20001121,2001-04-10
70,20001122,2001-04-10
71,20001123,2001-04-10
72,20001124,2001-04-10
73,20001119,2001-04-10
74,20001113,2001-04-09
75,20001111,2001-04-09
76,20001115,2001-04-09
77,20001112,2001-04-09
78,20001114,2001-04-09
79,20001108,2001-04-08
80,20001107,2001-04-08
81,20001106,2001-04-08
82,20001109,2001-04-08
83,20001104,2001-04-08
84,20001110,2001-04-08
85,20001105,2001-04-08
86,20001102,2001-04-07
87,20001101,2001-04-07
88,20001100,2001-04-07
89,20001099,2001-04-07
90,20001098,2001-04-07
91,20001097,2001-04-07
92,20001103,2001-04-07
93,20001089,2001-04-06
94,20001088,2001-04-06
95,20001096,2001-04-06
96,20001095,2001-04-06
97,20001094,2001-04-06
98,20001093,2001-04-06
99,20001092,2001-04-06
100,20001091,2001-04-06
101,20001090,2001-04-06
102,20001086,2001-04-05
103,20001087,2001-04-05
104,20001084,2001-04-05
105,20001082,2001-04-05
106,20001085,2001-04-05
107,20001083,2001-04-05
108,20001077,2001-04-04
109,20001079,2001-04-04
110,20001081,2001-04-04
111,20001080,2001-04-04
112,20001075,2001-04-04
113,20001076,2001-04-04
114,20001078,2001-04-04
115,20001074,2001-04-04
116,20001063,2001-04-03
117,20001064,2001-04-03
118,20001066,2001-04-03
119,20001065,2001-04-03
120,20001067,2001-04-03
121,20001070,2001-04-03
122,20001071,2001-04-03
123,20001073,2001-04-03
124,20001072,2001-04-03
125,20001069,2001-04-03
126,20001068,2001-04-03
127,20001053,2001-04-01
128,20001054,2001-04-01
129,20001055,2001-04-01
130,20001056,2001-04-01
131,20001057,2001-04-01
132,20001058,2001-04-01
133,20001059,2001-04-01
134,20001060,2001-04-01
135,20001061,2001-04-01
136,20001062,2001-04-01
137,20001051,2001-03-31
138,20001052,2001-03-31
139,20001048,2001-03-31
140,20001050,2001-03-31
141,20001049,2001-03-31
142,20001038,2001-03-30
143,20001039,2001-03-30
144,20001040,2001-03-30
145,20001041,2001-03-30
146,20001042,2001-03-30
147,20001043,2001-03-30
148,20001044,2001-03-30
149,20001045,2001-03-30
150,20001046,2001-03-30
151,20001047,2001-03-30
152,20001036,2001-03-29
153,20001034,2001-03-29
154,20001037,2001-03-29
155,20001031,2001-03-29
156,20001032,2001-03-29
157,20001033,2001-03-29
158,20001035,2001-03-29
159,20001030,2001-03-28
160,20001028,2001-03-28
161,20001026,2001-03-28
162,20001027,2001-03-28
163,20001029,2001-03-28
164,20001025,2001-03-28
165,20001021,2001-03-27
166,20001020,2001-03-27
167,20001019,2001-03-27
168,20001024,2001-03-27
169,20001018,2001-03-27
170,20001023,2001-03-27
171,20001022,2001-03-27
172,20001015,2001-03-26
173,20001016,2001-03-26
174,20001017,2001-03-26
175,20001012,2001-03-26
176,20001014,2001-03-26
177,20001013,2001-03-26
178,20001011,2001-03-26
179,20001005,2001-03-25
180,20001006,2001-03-25
181,20001007,2001-03-25
182,20001008,2001-03-25
183,20001009,2001-03-25
184,20001010,2001-03-25
185,20001004,2001-03-25
186,20000999,2001-03-24
187,20001003,2001-03-24
188,20001000,2001-03-24
189,20001002,2001-03-24
190,20001001,2001-03-24
191,20000992,2001-03-23
192,20000997,2001-03-23
193,20000991,2001-03-23
194,20000993,2001-03-23
195,20000995,2001-03-23
196,20000998,2001-03-23
197,20000996,2001-03-23
198,20000994,2001-03-23
199,20000988,2001-03-22
200,20000987,2001-03-22
201,20000986,2001-03-22
202,20000984,2001-03-22
203,20000990,2001-03-22
204,20000989,2001-03-22
205,20000985,2001-03-22
206,20000981,2001-03-21
207,20000982,2001-03-21
208,20000983,2001-03-21
209,20000978,2001-03-21
210,20000979,2001-03-21
211,20000980,2001-03-21
212,20000977,2001-03-21
213,20000970,2001-03-20
